Name,Highway,Highway_Stress,MaxSpeed,MaxSpeed_Stress,Lanes,Lanes_Stress,Stress_Level,Geometry
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.5947881 42.2904997, -85.5946243 42.2906059, -85.5939462 42.2910365, -85.5937748 42.2911454)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.595081 42.290479, -85.595613 42.290156, -85.595803 42.29006, -85.596003 42.28998)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.5450543 42.2595585, -85.5448699 42.2595589, -85.543541 42.2595573, -85.5424454 42.2595488, -85.542087 42.259546, -85.5410002 42.2595464, -85.5400171 42.2595474, -85.5391787 42.2595483)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.5450543 42.2595585, -85.5452086 42.2595604, -85.5459486 42.2595624, -85.5464744 42.2595639, -85.5468451 42.2595636, -85.5478803 42.2595627, -85.5497849 42.2595611, -85.549899 42.259561)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.5545991 42.2850274, -85.5546816 42.2849506)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.5545991 42.2850274, -85.5555103 42.2850738, -85.5557427 42.285074, -85.5560522 42.2850694)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.5546816 42.2849506, -85.5547237 42.2848872, -85.5547405 42.2848353, -85.5547405 42.2847874, -85.5547183 42.2847355, -85.5543891 42.2843117)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.5543891 42.2843117, -85.554122 42.283978, -85.553761 42.283509, -85.553479 42.283094, -85.55336 42.282867, -85.553167 42.282438, -85.553022 42.282031, -85.552928 42.281683, -85.5528945 42.2815215, -85.5528776 42.2813528)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.6058863 42.2785897, -85.6058589 42.2786428, -85.6058099 42.2787377, -85.6057519 42.278859, -85.6056798 42.2790098, -85.6055446 42.2792651, -85.6053794 42.2795728, -85.6052725 42.279763, -85.6052129 42.279867, -85.6050986 42.2800636, -85.6046395 42.2809042, -85.604377 42.2813878, -85.6041043 42.2818979, -85.6040215 42.2820549, -85.6039867 42.2821111, -85.6039631 42.2821475, -85.603935 42.2821793, -85.6038923 42.2822087, -85.6038528 42.2822306, -85.6038075 42.2822499, -85.6037545 42.2822659, -85.6036732 42.2822773, -85.6035907 42.282291, -85.6034954 42.2823067, -85.6033897 42.2823206, -85.6032185 42.2823439, -85.6029189 42.2823666, -85.6027895 42.2823729, -85.6026707 42.2823757, -85.6025379 42.2823801, -85.602437 42.2823775, -85.6023106 42.2823687, -85.6021525 42.2823512, -85.6020368 42.2823381, -85.6019435 42.2823206, -85.6018636 42.2823002, -85.6017671 42.2822728, -85.6016751 42.2822501, -85.6015913 42.2822327, -85.6015054 42.2822151, -85.60143 42.2822036, -85.601365 42.2821984, -85.6012899 42.2821948, -85.6012108 42.2821993, -85.6011543 42.2821977, -85.6010238 42.2821897)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.5323989 42.2594454, -85.5325206 42.2595071, -85.5325616 42.259522, -85.5326089 42.2595339, -85.5326711 42.2595438, -85.5327287 42.2595473, -85.5330522 42.2595477, -85.534588 42.259552, -85.5346396 42.2595562, -85.5346881 42.259563, -85.5347325 42.2595751, -85.5347786 42.2595919, -85.5348187 42.2596162, -85.534869 42.259651, -85.535013 42.259773)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.599999 42.280985, -85.5998656 42.2811633, -85.599471 42.281715, -85.599364 42.2818982, -85.599311 42.281989, -85.599295 42.2820182, -85.599196 42.282199, -85.599113 42.282385)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.599999 42.280985, -85.6000851 42.281031, -85.6001043 42.2810413, -85.6001687 42.281081, -85.6002574 42.2811501, -85.6005577 42.2814979, -85.6008553 42.281843, -85.6009473 42.281967, -85.601007 42.2821104, -85.6010238 42.2821897)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.6010238 42.2821897, -85.6010154 42.2822754, -85.6009884 42.2823633, -85.6009205 42.2825014, -85.6008215 42.2826898, -85.600766 42.2828229, -85.600733 42.2829837, -85.6007294 42.2831019, -85.600737 42.2831733, -85.600754 42.2832446, -85.6007697 42.283315, -85.6008403 42.2834614, -85.6009366 42.2835881, -85.6010364 42.2836758, -85.601126 42.2837327)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.6010238 42.2821897, -85.601007 42.2821104, -85.6009473 42.281967, -85.6008553 42.281843, -85.6005577 42.2814979, -85.6002574 42.2811501, -85.6001687 42.281081, -85.6001043 42.2810413, -85.6000851 42.281031, -85.599999 42.280985)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.6010238 42.2821897, -85.6011543 42.2821977, -85.6012108 42.2821993, -85.6012899 42.2821948, -85.601365 42.2821984, -85.60143 42.2822036, -85.6015054 42.2822151, -85.6015913 42.2822327, -85.6016751 42.2822501, -85.6017671 42.2822728, -85.6018636 42.2823002, -85.6019435 42.2823206, -85.6020368 42.2823381, -85.6021525 42.2823512, -85.6023106 42.2823687, -85.602437 42.2823775, -85.6025379 42.2823801, -85.6026707 42.2823757, -85.6027895 42.2823729, -85.6029189 42.2823666, -85.6032185 42.2823439, -85.6033897 42.2823206, -85.6034954 42.2823067, -85.6035907 42.282291, -85.6036732 42.2822773, -85.6037545 42.2822659, -85.6038075 42.2822499, -85.6038528 42.2822306, -85.6038923 42.2822087, -85.603935 42.2821793, -85.6039631 42.2821475, -85.6039867 42.2821111, -85.6040215 42.2820549, -85.6041043 42.2818979, -85.604377 42.2813878, -85.6046395 42.2809042, -85.6050986 42.2800636, -85.6052129 42.279867, -85.6052725 42.279763, -85.6053794 42.2795728, -85.6055446 42.2792651, -85.6056798 42.2790098, -85.6057519 42.278859, -85.6058099 42.2787377, -85.6058589 42.2786428, -85.6058863 42.2785897)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.5598978 42.2852723, -85.5598141 42.2852678, -85.559342 42.2852422, -85.5587451 42.2852132, -85.5585004 42.2852006)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.5598978 42.2852723, -85.5604451 42.2853318, -85.5609628 42.2853714, -85.5611506 42.2853843, -85.5612793 42.2853953)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.5310074 42.2606036, -85.5310943 42.259633, -85.5311501 42.2588157)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.578998 42.293039, -85.5789345 42.2930655, -85.57865 42.293184, -85.5786428 42.2931873, -85.578572 42.29322, -85.5785342 42.2932373, -85.5782428 42.2933732, -85.5781576 42.2934129, -85.5778152 42.2935725, -85.5776901 42.293629, -85.577542 42.293696, -85.5774166 42.2937516, -85.5772137 42.2938415, -85.5771646 42.2938633, -85.5767165 42.294062, -85.5765112 42.294153, -85.5764941 42.294161, -85.5763932 42.2942086)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.5799131 42.2945756, -85.580022 42.2945735, -85.5805425 42.2945634, -85.5811236 42.2945521, -85.5814109 42.2945464, -85.5815121 42.2945443, -85.581632 42.294542)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.535013 42.259773, -85.534869 42.259651, -85.5348187 42.2596162, -85.5347786 42.2595919, -85.5347325 42.2595751, -85.5346881 42.259563, -85.5346396 42.2595562, -85.534588 42.259552, -85.5330522 42.2595477, -85.5327287 42.2595473, -85.5326711 42.2595438, -85.5326089 42.2595339, -85.5325616 42.259522, -85.5325206 42.2595071, -85.5323989 42.2594454)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.535013 42.259773, -85.5349269 42.2598271, -85.5348267 42.2599081, -85.534757 42.259972, -85.534701 42.26003, -85.53465 42.260088, -85.5344771 42.2603215, -85.5340084 42.2609425, -85.5337432 42.261291, -85.533585 42.2614991, -85.5335141 42.2615962, -85.5334371 42.2617003, -85.5333616 42.2617975, -85.5332733 42.2619018, -85.5331333 42.2620454, -85.5330749 42.2620932, -85.5330179 42.2621359, -85.5329667 42.2621719, -85.5328694 42.262229, -85.5327687 42.2622804, -85.5326526 42.2623318, -85.5325715 42.2623577, -85.5324494 42.2623928, -85.5323434 42.2624134, -85.5322375 42.2624282, -85.5321526 42.2624371, -85.5320721 42.2624426, -85.5319729 42.2624456)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.535013 42.259773, -85.5350943 42.2597313, -85.5352348 42.2596724, -85.5353749 42.2596229, -85.5354407 42.2596031, -85.5355198 42.2595828, -85.5355979 42.2595665, -85.5357092 42.2595522, -85.5358107 42.2595431, -85.5359329 42.2595359, -85.5360687 42.2595349, -85.536652 42.259535)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.587324 42.292541, -85.5873349 42.2929103, -85.5873394 42.293063, -85.5873494 42.2934275, -85.587352 42.2935238)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.587352 42.2935238, -85.587469 42.2935195, -85.5878362 42.2935059, -85.5880608 42.2934976, -85.5882876 42.2934892, -85.5884728 42.2934823, -85.588589 42.293478)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.587352 42.2935238, -85.5873538 42.2935939, -85.5873719 42.2943124, -85.5873726 42.2943388, -85.587375 42.294433)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.587352 42.2935238, -85.5872475 42.2935247, -85.5869826 42.293527, -85.5866831 42.2935331, -85.5861146 42.2935445)"
